Episode,Reward,Success,Steps,Final_Absolute_Error,Epsilon,Loss,Wall_Clock_Time
1,-149.4896975159645,0,150,0.6265990089456891,1.0,0.0,0.24435019493103027
2,-46.22096935426816,0,150,0.903324330899734,0.985,0.0,0.49997639656066895
3,-179.85482865571976,0,150,1.0238405833783604,0.970225,0.0,0.742396354675293
4,-35.98559865057467,0,150,0.2469765629958076,0.955671625,0.0697252081089312,1.3366777896881104
5,-72.49080200791359,0,150,0.7714841096903012,0.941336550625,0.017967520505189894,1.8146135807037354
6,8.091254313290118,1,87,0.00495664060397924,0.927216502365625,0.03315270200489496,2.093432664871216
7,-75.76113880230113,0,150,0.19586045012405529,0.9133082548301407,0.02176054454408586,2.5972352027893066
8,11.205481210401194,1,69,0.01719646863448404,0.8996086310076885,0.041784123035039804,2.817509651184082
9,-55.738052514009176,0,150,0.09107134422870405,0.8861145015425732,0.03753882481949404,3.2904393672943115
10,-56.000616147555405,0,150,0.5638844935382685,0.8728227840194346,0.042232980773163335,3.7886006832122803
11,-29.418227068521066,1,136,0.006778444075542511,0.8597304422591431,0.03508720894494806,4.2059948444366455
12,-49.804310257826,0,150,0.2766982270052137,0.8468344856252559,0.030046460842713715,4.673296928405762
13,-17.796479071630163,0,150,0.3380343216759103,0.834131968340877,0.027844568258151414,5.14101243019104
14,3.8496627202141065,1,48,0.035480024405901256,0.8216199888157638,0.036234381094497316,5.278144836425781
15,17.49536527050659,1,8,0.022327671858296108,0.8092956889835273,0.04875763540621847,5.301485776901245
16,11.641361935902387,1,56,0.02604147504432075,0.7971562536487744,0.03956018858090309,5.488396883010864
17,2.6198834623151903,1,62,0.0015844070252776232,0.7851989098440427,0.04702923760839527,5.678801774978638
18,22.710287863120904,1,79,0.02658982110192304,0.773420926196382,0.05171691010340671,5.938018321990967
19,20.610192739639025,1,112,0.0010100201911366624,0.7618196123034363,0.050427979473689835,6.307933807373047
20,23.296404776303095,1,42,0.037317256684804886,0.7503923181188847,0.04980767024902716,6.437692880630493
21,-7.1477571569586935,1,80,0.00046503079476545306,0.7391364333471014,0.05908313590916805,6.686050176620483
22,3.9227300078608076,1,39,0.003778681531156791,0.7280493868468949,0.0534944529286944,6.806016206741333
23,14.191080126538873,1,52,0.003902427805325348,0.7171286460441915,0.06478677208248812,6.969141483306885
24,11.064091186737642,1,24,0.003296922431247351,0.7063717163535286,0.0582353004720062,7.05144476890564
25,17.780888711288572,1,88,0.03322286473609515,0.6957761406082257,0.06269408839183267,7.323493242263794
26,12.211239021152142,1,51,0.029458243224402825,0.6853394984991023,0.07539219674015162,7.481696128845215
27,2.6204532800242255,1,37,0.00852042565348865,0.6750594060216157,0.09336515304607314,7.591406583786011
28,17.483532893657685,1,11,0.01840781668558937,0.6649335149312915,0.059435671364719216,7.62814736366272
