Episode,Reward,Success,Steps,Final_Absolute_Error,Epsilon,Loss,Wall_Clock_Time
1,-149.4896975159645,0,150,0.6265990089456891,1.0,0.0,0.2433946132659912
2,-52.81498382007703,0,150,0.9224760050088714,0.995,0.0,0.4840517044067383
3,-168.785686314106,0,150,0.9214025180036642,0.990025,0.0,0.7433984279632568
4,-25.316003219597043,0,150,0.12449195440079053,0.985074875,0.1033607439534499,1.3223185539245605
5,16.297576755785848,1,20,0.013747197545700002,0.9801495006250001,0.10905953515321017,1.3821940422058105
6,-105.17001573741436,0,150,0.8278720106399579,0.9752487531218751,0.07320000166694324,1.8784284591674805
7,-87.0277531594038,0,150,0.4739199884630404,0.9703725093562657,0.049576772927927476,2.33856201171875
8,-90.88215355575085,0,150,0.6050063532974823,0.9655206468094844,0.03295276516117156,2.799254894256592
9,-53.49322626329958,0,150,0.7760611971480048,0.960693043575437,0.028407657233377296,3.2659850120544434
10,-51.899927139375365,0,150,0.35590810449055915,0.9558895783575597,0.026347497189417483,3.734729766845703
11,-138.30844444036484,0,150,1.4748040726637202,0.9511101304657719,0.023262587012723088,4.21763801574707
12,18.68015968790278,1,23,0.02863412122717734,0.946354579813443,0.01619802893179914,4.2849366664886475
13,-73.8308362359181,0,150,0.42110229078358075,0.9416228069143757,0.027629080014303326,4.753127813339233
14,-41.653846600186085,0,150,0.18777675228809565,0.9369146928798039,0.029505228518197934,5.241559267044067
15,-10.950995230645642,0,150,0.414398130127984,0.9322301194154049,0.023867515157908203,5.704315900802612
16,19.461638716980815,1,51,0.03315303908132321,0.9275689688183278,0.02689477405054312,5.864416122436523
17,-12.56976264168043,1,98,0.0011307877845558867,0.9229311239742362,0.03381873093241332,6.188402891159058
18,-50.13167325279209,0,150,0.4531113447533251,0.918316468354365,0.03568798202400406,6.718496322631836
19,0.4750372378155525,1,150,0.027184210775654083,0.9137248860125932,0.031038314482818047,7.198846817016602
20,17.55932451829576,1,8,0.037563160819118695,0.9091562615825302,0.046868330566212535,7.225553750991821
21,-26.756517853681,0,150,0.13336233824673693,0.9046104802746175,0.03348954080293576,7.699194431304932
22,-10.6150409557391,1,77,0.030379539951828183,0.9000874278732445,0.0371029106416292,7.948865175247192
23,-55.48820812981573,0,150,0.1603984074112197,0.8955869907338783,0.037821142512063186,8.421290874481201
24,-100.06861108541489,0,150,0.7648843012718471,0.8911090557802088,0.03528721153115233,8.893034219741821
25,-87.0066213041544,0,150,0.0962317510591093,0.8866535105013078,0.034449888952076436,9.383453369140625
26,-10.645001185685409,0,150,0.022491224231847573,0.8822202429488013,0.035219869092106816,9.850687265396118
27,0.1784528348594847,1,81,0.025465753169556016,0.8778091417340573,0.029462826208291965,10.11832880973816
28,20.099179738387466,1,19,0.030412272191819394,0.8734200960253871,0.028307997670612838,10.176948547363281
29,-3.726955361383446,1,85,0.026970922949618337,0.8690529955452602,0.03470421746811446,10.447640419006348
30,16.45060379358474,1,23,0.017188460449608006,0.8647077305675338,0.02445728874400906,10.516411542892456
31,-17.656685475539426,0,150,0.04935917688164715,0.8603841919146962,0.03602302787825465,10.980136394500732
32,8.418365032691508,1,85,0.012648602003675513,0.8560822709551227,0.03572235512821113,11.272083282470703
33,7.60574259040877,1,79,0.011035601885156177,0.851801859600347,0.03368183708737923,11.528374671936035
34,-28.305797197110934,1,137,0.003118787243784782,0.8475428503023453,0.029511242166814142,11.978968858718872
35,-50.88769510616548,0,150,0.22216514957755462,0.8433051360508336,0.030427505001425742,12.475316762924194
36,-10.265342172898823,1,125,0.009747560267373778,0.8390886103705794,0.030473387375473976,12.881864070892334
37,15.065249487198889,1,35,0.003969602478997684,0.8348931673187264,0.033709905349782535,12.995760917663574
38,13.253912196226883,1,66,0.03991649961042351,0.8307187014821328,0.029918415754130394,13.194987297058105
39,19.253670424269515,1,111,0.013728350653996649,0.8265651079747222,0.032155053287341785,13.535341501235962
40,3.885689112497488,1,67,0.039399156167100435,0.8224322824348486,0.02944009446664088,13.750291347503662
