Goal_Angle_rad,Episode_Index,Seed,Success,Cumulative_Reward,Episode_Length,Final_Absolute_Error
-0.8,1,666,True,10.521527701057494,27,0.012328092101017596
-0.8,2,667,True,10.521527701057494,27,0.012328092101017596
-0.8,3,668,True,10.521527701057494,27,0.012328092101017596
-0.8,4,669,True,10.521527701057494,27,0.012328092101017596
-0.8,5,670,True,10.521527701057494,27,0.012328092101017596
-0.4,1,666,True,15.21405668091029,21,0.013217009087764853
-0.4,2,667,True,15.21405668091029,21,0.013217009087764853
-0.4,3,668,True,15.21405668091029,21,0.013217009087764853
-0.4,4,669,True,15.21405668091029,21,0.013217009087764853
-0.4,5,670,True,15.21405668091029,21,0.013217009087764853
0.4,1,666,True,15.211074960418046,21,0.012719840750495037
0.4,2,667,True,15.211074960418046,21,0.012719840750495037
0.4,3,668,True,15.211074960418046,21,0.012719840750495037
0.4,4,669,True,15.211074960418046,21,0.012719840750495037
0.4,5,670,True,15.211074960418046,21,0.012719840750495037
0.8,1,666,True,10.519856926985085,27,0.0105712357298271
0.8,2,667,True,10.519856926985085,27,0.0105712357298271
0.8,3,668,True,10.519856926985085,27,0.0105712357298271
0.8,4,669,True,10.519856926985085,27,0.0105712357298271
0.8,5,670,True,10.519856926985085,27,0.0105712357298271

Summary_Metric,Value
Successes,20/20
Success_Rate_Percent,100.00
Mean_Cumulative_Reward,12.8666
Mean_Episode_Length,24.00
Mean_Final_Absolute_Error_rad,0.012209
