Episode,Reward,Success,Steps,Final_Absolute_Error,Epsilon,Loss,Wall_Clock_Time
1,-149.4896975159645,0,150,0.6265990089456891,1.0,0.0,0.2539851665496826
2,-52.81498382007703,0,150,0.9224760050088714,0.995,0.0,0.49713802337646484
3,-168.785686314106,0,150,0.9214025180036642,0.990025,0.0,0.7589194774627686
4,-25.316003219597043,0,150,0.12449195440079053,0.985074875,0.07566329697608062,1.3361921310424805
5,16.297576755785848,1,20,0.013747197545700002,0.9801495006250001,0.02989719700999558,1.3915295600891113
6,-105.17001573741436,0,150,0.8278720106399579,0.9752487531218751,0.05148987613618374,1.8440368175506592
7,-92.94584220647812,0,150,0.6332630147071758,0.9703725093562657,0.03417188640606279,2.2940304279327393
8,-95.39288352429867,0,150,0.6845587092760772,0.9655206468094844,0.032838192198735974,2.706130266189575
9,-53.49322626329958,0,150,0.7760611971480048,0.960693043575437,0.023629993692350883,3.1589038372039795
10,-51.899927139375365,0,150,0.35590810449055915,0.9558895783575597,0.028487603516938787,3.630237102508545
11,-138.30844444036484,0,150,1.4748040726637202,0.9511101304657719,0.024710520928104718,4.076068162918091
12,-87.98544767331332,0,150,0.7085844338689488,0.946354579813443,0.015867975480699292,4.509820461273193
13,-51.284590169694276,0,150,0.5909295152339892,0.9416228069143757,0.009040284218887489,4.977288484573364
14,2.3396933719050104,1,42,0.003687147323093498,0.9369146928798039,0.006237211290724753,5.107137203216553
15,17.687511296197773,1,8,0.01819849306512424,0.9322301194154049,0.043221388215897605,5.129377841949463
16,-43.53011210504919,0,150,0.23634295079840162,0.9275689688183278,0.02655061313106368,5.585586786270142
17,-4.023264868813573,1,121,0.001125434794847724,0.9229311239742362,0.026090058005484175,5.961988925933838
18,-65.02085748538374,0,150,0.2928790353816192,0.918316468354365,0.03557364859463026,6.486307144165039
19,0.0948252231937623,1,117,0.02537573873023341,0.9137248860125932,0.037463160613790535,6.844709396362305
20,17.15295195580693,1,34,0.0049870201621826545,0.9091562615825302,0.026496180963209447,6.947575330734253
21,-30.555204011040043,0,150,0.052613680033664734,0.9046104802746175,0.05592608278617263,7.409546375274658
22,-16.392516935430464,1,84,0.018838033867015103,0.9000874278732445,0.03880027602315836,7.6583333015441895
23,-43.84514688160269,1,122,0.03662738704419033,0.8955869907338783,0.0500843058355519,8.049706935882568
24,-76.92229759693146,0,150,0.5408291647841041,0.8911090557802088,0.041745393704622984,8.523722171783447
25,-90.02539551258087,0,150,0.28177445053153394,0.8866535105013078,0.03971892347559333,9.021848201751709
26,-0.023113343834854305,1,66,0.03462596003227869,0.8822202429488013,0.029174330926528484,9.216147184371948
27,-50.211537848599235,0,150,0.0323897011335722,0.8778091417340573,0.03644733130000532,9.68724799156189
28,19.292485130764543,1,45,0.033799207124260974,0.8734200960253871,0.03840236848013268,9.826255798339844
29,-1.8147774619516035,1,47,0.014422423101241977,0.8690529955452602,0.04383784039144186,9.977064847946167
30,16.41072623990476,1,20,0.008575471358998374,0.8647077305675338,0.04307714602909982,10.044837713241577
31,-1.734274271479812,1,48,0.010361954466579948,0.8603841919146962,0.04279616754502058,10.195666790008545
32,18.280026566423476,1,27,0.03303799277466396,0.8560822709551227,0.04091856376854358,10.279235601425171
33,-1.9512270944193046,0,150,0.010456757214277357,0.851801859600347,0.04592312721535564,10.745310306549072
34,-20.671151654515423,0,150,0.056906414729651245,0.8475428503023453,0.04459098368572692,11.207595109939575
35,2.3403617623262036,1,121,0.015165271423674964,0.8433051360508336,0.048388679011547864,11.59562635421753
36,-4.430840406939392,1,96,0.03141039846107174,0.8390886103705794,0.04589837396633811,11.877552509307861
37,-0.09638853278011439,1,78,0.02889541514235623,0.8348931673187264,0.04616630008109869,12.104667663574219
38,-5.378221446066167,1,117,0.03849842694601968,0.8307187014821328,0.04702945582122884,12.466362714767456
39,15.776536330021917,1,26,0.022303095512359462,0.8265651079747222,0.05391607369081332,12.537218570709229
40,-7.065624498669063,1,83,0.023142029343352966,0.8224322824348486,0.05483594679284886,12.793650388717651
41,5.85430118334479,1,97,0.004064626784315711,0.8183201210226743,0.04835392798767569,13.084266901016235
42,17.531402720860207,1,11,0.0030792966151569068,0.8142285204175609,0.05126881463961168,13.11778974533081
43,33.07418444254435,1,94,0.029637850987350667,0.810157377815473,0.06259233530293754,13.407823324203491
44,10.835976278409362,1,34,0.018281103785110442,0.8061065909263957,0.048739630564609,13.505592823028564
45,22.849142074026165,1,22,0.026973572589143985,0.8020760579717637,0.05700625479221344,13.57619023323059
46,23.658637590100987,1,64,0.02726133970916847,0.798065677681905,0.052473558171186596,13.77352261543274
47,-2.4001818374265014,1,71,0.01806117517862918,0.7940753492934954,0.04745206947792584,13.986536502838135
48,14.583733136416413,1,34,0.03717901207057292,0.7901049725470279,0.055313632056555324,14.092916250228882
49,-2.972316991724078,1,84,0.009024574447327849,0.7861544476842928,0.0557274960779718,14.366137504577637
50,7.032027883455157,1,40,0.02822636024587577,0.7822236754458713,0.04837100789882243,14.488873481750488
51,12.013889452349394,1,106,0.013465971810419058,0.778312557068642,0.04257836370324751,14.819774866104126
52,19.415204455517234,1,39,0.006656291788543656,0.7744209942832988,0.0617312368674156,14.935319185256958
53,12.910475262440741,1,26,0.027314219901073356,0.7705488893118823,0.05036940167729671,15.011902332305908
54,12.621671304217307,1,68,0.00031227389781895987,0.7666961448653229,0.04066075968063053,15.214841842651367
55,-8.184445968084042,1,60,0.019557851693675993,0.7628626641409962,0.041329278300205864,15.404274702072144
56,22.399276133778038,1,23,0.03866099894544168,0.7590483508202912,0.04936353757005671,15.466248035430908
57,4.900547853659371,1,112,0.0023304089450115195,0.7552531090661897,0.04926599385882063,15.78866720199585
58,-2.2222137080505533,1,51,0.03433183576832488,0.7514768435208588,0.040383692209919296,15.946624279022217
59,14.26899918083509,1,41,0.00018409548504422224,0.7477194593032545,0.0472249450025762,16.080698251724243
60,14.347230315487831,1,24,0.02059782431459578,0.7439808620067382,0.04142228312169512,16.148178815841675
61,16.547229899914235,1,21,0.0003435675568229102,0.7402609576967045,0.0514043304359629,16.217865467071533
62,4.358078453084451,1,51,0.006912064936621887,0.736559652908221,0.044338824008317554,16.368556022644043
63,13.997931225644423,1,35,0.030436827547011214,0.7328768546436799,0.06351334979491574,16.471431255340576
64,11.75582301337272,1,26,0.02974928341422889,0.7292124703704616,0.04547056792160639,16.554789066314697
65,13.716604100447148,1,57,0.0109853504814314,0.7255664080186093,0.046714880127917253,16.733977556228638
66,14.828636405908036,1,22,0.012832720057245173,0.7219385759785162,0.04241761929270896,16.7961266040802
67,21.841157610854133,1,83,0.022716904757698275,0.7183288830986236,0.04159344301884433,17.07850933074951
68,20.917954797064883,1,56,0.0045450242724619505,0.7147372386831305,0.05683092027902603,17.241612195968628
69,15.52215246821288,1,24,0.02421592543440959,0.7111635524897149,0.04809285723604262,17.30755853652954
70,27.026902597211297,1,49,0.019709110449564526,0.7076077347272662,0.04870596258159803,17.46627378463745
71,16.337128542363644,1,30,0.008012862696656964,0.7040696960536299,0.049521295726299285,17.563441038131714
72,26.31719714765422,1,121,0.005085458089814643,0.7005493475733617,0.05185742260626525,17.9298312664032
73,8.32811362503853,1,52,0.00523192853065213,0.697046600835495,0.0693199411034584,18.090513706207275
74,6.693221598491072,1,42,0.033096466799356794,0.6935613678313175,0.05236547422550973,18.22526741027832
75,3.74489063673827,1,48,0.01703731228462768,0.6900935609921609,0.05278219135167698,18.3772451877594
76,15.54205202355515,1,53,0.008576306161612979,0.6866430931872001,0.05022422168052421,18.55172634124756
77,14.609213373920648,1,30,0.013824191260447649,0.6832098777212641,0.0452150858938694,18.635600566864014
78,11.4718842841452,1,38,0.006061052509554354,0.6797938283326578,0.07336046536894221,18.767977237701416
79,14.645142624760046,1,41,0.025228131212271854,0.6763948591909945,0.06542848532156247,18.903592586517334
80,17.59672878345009,1,8,0.008570132461699707,0.6730128848950395,0.07195271598175168,18.92502188682556
81,15.291694795526563,1,20,0.01441819963229174,0.6696478204705644,0.06544528529047966,18.99219799041748
82,13.30676565072499,1,39,0.026454335377065097,0.6662995813682115,0.06326111983985473,19.121153593063354
83,9.994826044511866,1,27,0.004761785612942604,0.6629680834613705,0.06145406735164148,19.20176887512207
84,11.451202985236886,1,32,0.03425788331915458,0.6596532430440636,0.06536592112388462,19.300426483154297
85,26.489475295995355,1,104,0.011597647832140012,0.6563549768288433,0.07201914030771989,19.61793804168701
86,11.407709725946189,1,63,0.011642386004197647,0.653073201944699,0.07944285012190304,19.810989141464233
87,2.9849168473854633,1,45,0.013523366985305318,0.6498078359349755,0.07715112070242564,19.951845407485962
88,29.607428290881213,1,70,0.033284239350955175,0.6465587967553006,0.0682452822902373,20.168280601501465
89,12.402984335971995,1,30,0.00637576682005031,0.6433260027715241,0.06215658765286207,20.258655309677124
90,13.250982609577477,1,26,0.01327399274423302,0.6401093727576664,0.09563853376759933,20.345656394958496
91,17.32014338411391,1,49,0.00192479473480911,0.6369088258938781,0.07866163164073108,20.491010189056396
92,8.517654597572982,1,45,0.012266158965552387,0.6337242817644086,0.0824943471286032,20.629547834396362
93,9.513049262203277,1,27,0.015315761846953158,0.6305556603555866,0.072801329885368,20.719372272491455
94,7.312355884863063,1,37,0.003039298279409297,0.6274028820538087,0.07608137471047607,20.836832284927368
95,17.081030778214334,1,14,0.014975401638712638,0.6242658676435396,0.071909295927201,20.885087490081787
96,11.88504241972696,1,28,0.029654304246860608,0.6211445383053219,0.08674565842375159,20.968291997909546
97,7.785055661457591,1,32,0.0026035340331203027,0.6180388156137953,0.06916435796301812,21.05775237083435
98,10.738348875916563,1,30,0.0016491763696367956,0.6149486215357263,0.1123075877626737,21.149280071258545
99,19.252854748173558,1,20,0.009601895760749407,0.6118738784280476,0.09281205860897898,21.204739570617676
100,13.66028170469217,1,94,0.0030193752443597455,0.6088145090359074,0.1008723947080843,21.501940727233887
101,13.03769522892835,1,27,0.02316782232184661,0.6057704364907278,0.10242546004829584,21.586440801620483
102,4.666336463484912,1,36,0.01287508489314071,0.6027415843082742,0.09514826277477874,21.703922510147095
103,16.873700443468987,1,50,0.003803502675353121,0.5997278763867329,0.09707543473690748,21.85705804824829
104,10.846112446160987,1,36,0.0043968965156168105,0.5967292370047992,0.09323624619800183,21.969908237457275
105,17.28105378905311,1,12,0.017003910090412758,0.5937455908197752,0.10061917857577403,22.007149696350098
106,15.060298094357131,1,44,0.00473143099008877,0.5907768628656763,0.1040720936249603,22.141748189926147
107,6.838869932689702,1,41,0.015867710398425272,0.5878229785513479,0.09206372272314095,22.262556314468384
108,16.92514194904361,1,28,0.014354514200928259,0.5848838636585911,0.09437608678958245,22.358732223510742
109,19.125220244238154,1,34,0.0008435347163920359,0.5819594443402982,0.09483164888532723,22.46502923965454
110,10.210924769565464,1,27,0.010014831641404598,0.5790496471185967,0.10393542892954967,22.547937154769897
111,14.270609383564441,1,30,0.017578769783849146,0.5761543988830038,0.12176932965715727,22.63650393486023
112,11.823307161941193,1,29,0.007832576251077972,0.5732736268885887,0.13566612233889513,22.7274169921875
113,18.475766234615,1,20,0.006075356515059582,0.5704072587541458,0.12410960365086794,22.791211128234863
114,21.817657302040605,1,41,0.011967965611616727,0.567555222460375,0.12705411943720607,22.93630599975586
115,17.4254111177288,1,12,0.014999529263105923,0.5647174463480732,0.10753034800291061,23.00613021850586
116,11.651879820157774,1,39,0.0017070014983889825,0.5618938591163328,0.135351556711472,23.153931140899658
117,24.12308667600155,1,54,0.01851049583981651,0.5590843898207511,0.12231111519590572,23.325825452804565
118,15.268347558984532,1,22,0.0008103524135665008,0.5562889678716474,0.13674010099335152,23.39558458328247
119,15.91372532909736,1,25,0.007064236880479122,0.5535075230322891,0.1220532563328743,23.467663288116455
120,7.840648439383949,1,38,0.006471526704172614,0.5507399854171277,0.13761354149564317,23.592753171920776
121,11.89528435403481,1,25,0.011457027457344893,0.547986285490042,0.1209336532652378,23.6731595993042
122,16.815137046808378,1,28,0.02677019298792399,0.5452463540625918,0.13105268576847656,23.74992084503174
123,10.075131198111922,1,29,0.004355510430549936,0.5425201222922789,0.1295346861769413,23.83510708808899
124,18.949621981731617,1,42,0.025271943761776994,0.5398075216808175,0.14107999063673474,23.969610929489136
125,11.850012735964265,1,23,0.006718489628353641,0.5371084840724134,0.13766803203717523,24.042580604553223
126,17.2070511684753,1,12,0.005586251547349791,0.5344229416520513,0.10999470390379429,24.080593585968018
127,20.787047253921628,1,30,0.01697431597342633,0.531750826943791,0.148979350241522,24.178471088409424
128,17.309688958153128,1,12,0.0016868553062939773,0.5290920728090721,0.13876997120678425,24.219231367111206
129,14.419089565239846,1,27,0.001572690461840831,0.5264466124450268,0.17094826891466422,24.30470585823059
130,21.15206806184724,1,18,0.0039013017769046476,0.5238143793828016,0.14131257434686026,24.353267908096313
131,13.104772696038708,1,28,0.00946669659607624,0.5211953074858876,0.14789596066943236,24.44218611717224
132,15.121884491934907,1,24,0.016425864579280247,0.5185893309484582,0.14758150760705271,24.515755653381348
133,19.928882469143716,1,17,0.014491258026333123,0.5159963842937159,0.1638236931141685,24.568280935287476
134,14.984603540413081,1,23,0.005135310128442094,0.5134164023722473,0.1586801837319913,24.636938095092773
135,7.710336754121817,1,34,0.03214462618947278,0.510849320360386,0.14245557565899455,24.73809576034546
136,3.307475221925409,1,52,0.0175805885797794,0.5082950737585841,0.15601490932301834,24.906843900680542
137,17.466670177690684,1,10,0.021162827065379003,0.5057535983897912,0.14836278632283212,24.937952041625977
138,19.1426857152328,1,40,0.007382651314503996,0.5032248303978422,0.17977107772603632,25.060256242752075
139,9.841484573855997,1,27,0.014682682920176715,0.500708706245853,0.18126983333517005,25.143026113510132
140,17.353786458820103,1,11,0.006433052828240048,0.4982051627146237,0.18257024545561185,25.17417621612549
141,18.003099921625108,1,40,0.009794272288517036,0.49571413690105054,0.17318050041794777,25.305347681045532
142,16.971570986136793,1,14,0.007575507713907165,0.4932355662165453,0.17345859961850302,25.344868659973145
143,15.385754624288529,1,19,0.019175111181171933,0.4907693883854626,0.19114736232318377,25.402044534683228
144,16.726723050232977,1,16,0.010289393430143207,0.4883155414435353,0.13181790080852807,25.453339338302612
145,13.418493061419575,1,22,0.024616287217372468,0.4858739637363176,0.1520146791907874,25.519402027130127
146,16.400893410816206,1,18,0.0009987630694042737,0.483444593917636,0.16429554112255573,25.575196981430054
147,14.359825524687768,1,22,0.00714009429236212,0.4810273709480478,0.14643560536205769,25.64376449584961
148,17.618693830026313,1,8,0.019752523086086948,0.47862223409330756,0.25634438963606954,25.67227268218994
149,16.58134931474924,1,14,0.026361869596373738,0.47622912292284103,0.1782921398324626,25.711260318756104
150,15.933016156964005,1,17,0.02603197747727143,0.4738479773082268,0.1503818568718784,25.75920271873474
151,6.597500616312025,1,32,0.012205687270816279,0.47147873742168567,0.20830812468193471,25.86087918281555
152,5.347949851397423,1,35,0.00940484849213763,0.46912134373457726,0.20035431757569314,25.96346950531006
153,11.440035062329844,1,34,0.003264012972035435,0.46677573701590436,0.17948134802281857,26.06458282470703
154,13.79831004384905,1,21,0.039089107699060155,0.46444185833082485,0.188558013488849,26.12862777709961
155,15.507747750636192,1,58,0.0027192190771437863,0.46211964903917074,0.17762939956296106,26.30778193473816
156,17.79990497757681,1,8,0.0028342103084311237,0.4598090507939749,0.23922259360551834,26.33210277557373
157,17.67884637701791,1,9,0.0015259777470857938,0.457510005540005,0.14685525662369198,26.359761476516724
158,14.952211575536058,1,20,0.007275035042154154,0.45522245551230495,0.16502418695017695,26.423301219940186
159,18.67850629584864,1,59,0.017646538303737302,0.4529463432347434,0.17776170783376288,26.60493016242981
160,16.70746428181883,1,17,0.002625080464798063,0.4506816115185697,0.1821710636072299,26.658694982528687
161,14.226725155301391,1,19,0.014986100366497834,0.4484282034609769,0.17483039710082507,26.718403100967407
162,6.334646316850555,1,43,0.009426749011213764,0.446186062443672,0.1735188573772131,26.84129810333252
163,17.663949188496918,1,8,0.013231268594455226,0.4439551321314536,0.15447523538023233,26.866747856140137
164,14.57845493776258,1,22,0.03293331932909882,0.4417353564707963,0.18715877915647897,26.931257724761963
165,16.70070451151114,1,14,0.017114485435323762,0.43952667968844233,0.16187473626009055,26.975764513015747
166,9.494399051088841,1,24,0.005640993329682931,0.43732904629000013,0.21878822334110737,27.048038482666016
167,17.479581025405786,1,10,0.0015392348155717633,0.4351424010585501,0.1802384965121746,27.08178997039795
168,18.530733338464053,1,20,0.03350343636325122,0.43296668905325736,0.18223716858774425,27.141019821166992
169,10.752305747568608,1,25,0.027904634183006483,0.43080185560799106,0.1994676548242569,27.21725869178772
170,11.022519946540706,1,24,0.02855090829064988,0.4286478463299511,0.1797883266893526,27.284438610076904
171,20.099799900781363,1,36,0.0019257832668384545,0.42650460709830135,0.19231362413201067,27.40658140182495
172,9.160807565611321,1,29,0.0008392692094627563,0.42437208406280985,0.17564465015612798,27.495017528533936
173,17.77360945175169,1,9,0.005036058360908716,0.4222502236424958,0.187698722920484,27.523687839508057
174,15.217988834809512,1,39,0.030099092760020874,0.42013897252428334,0.1805767501011873,27.639747858047485
175,17.473760998548823,1,10,0.004209221302758373,0.4180382776616619,0.1859446384012699,27.673011541366577
176,17.214191974932326,1,12,0.011538734173624374,0.4159480862733536,0.21284162253141403,27.71042227745056
177,9.00514730863506,1,27,0.007144695550958757,0.41386834584198684,0.21886881109741,27.794342041015625
178,16.23017609398812,1,17,0.028610652357928562,0.4117990041127769,0.22989095484509187,27.850396633148193
179,17.55647499370243,1,8,0.016429573329855007,0.40974000909221303,0.2103236112743616,27.874228954315186
180,12.028834874927997,1,24,0.012854142568546167,0.40769130904675194,0.20620683937643966,27.94843077659607
181,16.281472835224122,1,16,0.023283642799040827,0.40565285250151817,0.22256771894171834,28.005980014801025
182,17.38566824850859,1,12,0.00114986373596207,0.4036245882390106,0.19502199348062277,28.045217990875244
183,16.28930891089549,1,17,0.014743092986249595,0.4016064652978155,0.20132185190039523,28.1047682762146
184,11.497818288614507,1,28,0.006315356844017073,0.3995984329713264,0.20217371379424418,28.199175119400024
185,13.931519721262157,1,21,0.0036479544659805407,0.3976004408064698,0.20296986578475862,28.25842261314392
186,16.6617490442266,1,15,9.72376850005563e-05,0.39561243860243744,0.21992730001608532,28.303783178329468
187,17.433888580452184,1,12,0.020355033397536748,0.3936343764094253,0.1816697532000641,28.34477162361145
188,16.6721526585985,1,35,0.0022231420986481565,0.39166620452737816,0.20956011435815267,28.466806650161743
189,9.475263930187793,1,25,0.021431426159579048,0.3897078735047413,0.2032991650700569,28.537495613098145
190,14.925232528103514,1,19,0.007294475458352934,0.3877593341372176,0.18302295219741369,28.59270191192627
191,15.518437794724013,1,23,0.0013504563622382948,0.3858205374665315,0.23446245734458385,28.656793355941772
192,10.952700405940414,1,24,0.009373636918857065,0.38389143477919885,0.20215471267389754,28.73067569732666
193,10.407970024162205,1,27,0.0002706793452511569,0.3819719776053028,0.16311334301200178,28.81992197036743
194,10.659396960568847,1,26,0.0042627414412980125,0.3800621177172763,0.19984108861535788,28.90454363822937
195,12.908471868280321,1,33,0.002522813549566849,0.37816180712868996,0.2133842579117327,29.03432583808899
196,14.782837071828544,1,21,0.027397524136253126,0.37627099809304654,0.189096681418873,29.106264114379883
197,19.221643697144465,1,28,0.010056661677446843,0.3743896431025813,0.2341963247662144,29.18877077102661
198,15.721036330983043,1,18,0.0022051687540434184,0.37251769488706843,0.24251681400669944,29.237083911895752
199,11.10393233030336,1,25,0.03841906570920883,0.3706551064126331,0.21522224336862564,29.31526207923889
200,15.943698105128714,1,16,0.025188656492756922,0.36880183088056995,0.2271636063233018,29.361178636550903
201,17.710412640240975,1,8,0.002572509029567482,0.3669578217261671,0.21821488440036774,29.38352084159851
202,21.922982557467183,1,34,0.02077768893420881,0.36512303261753626,0.20762135526713202,29.49077033996582
203,17.60861399585847,1,10,0.019308076689821596,0.3632974174544486,0.18652320504188538,29.524370431900024
204,8.814115111879072,1,27,0.002894603127489681,0.3614809303671764,0.19194337339312942,29.602062940597534
205,7.077708763063127,1,29,0.009024776489394815,0.3596735257153405,0.22789420752689757,29.699281454086304
206,8.92200775393285,1,35,0.00721767493013814,0.3578751580867638,0.20140837521425314,29.818307876586914
207,11.125961932516656,1,24,0.0022392442901928433,0.35608578229633,0.2194115852471441,29.88743758201599
208,15.649068496172548,1,23,0.0001517610847173445,0.3543053533848483,0.20170825379698173,29.960125207901
209,21.030435062106697,1,25,0.0011707232798502942,0.35253382661792404,0.1661089412122965,30.040937900543213
